V_in [mV],       dV_in [mV],      V_out [V],      dV_out [V]
515,        5,          5.05,       0.03
414,        5,          4.05,       0.03
314,        5,          3.06,       0.03
217,        5,          2.09,       0.03
117,        5,          1.06,       0.03
611,        5,          6.05,       0.04
708,        5,          7.00,       0.03
819,        5,          8.10,       0.1
917,        6,          9.10,       0.1
1014,       10,         10.1,       0.1
1230,       10,         12.1,       0.1
1430,       10,         14.2,       0.1
1620,       10,         16.1,       0.1
2620,       10,         26.1,       0.1
