Freq [kHz],     V_out [V],     dV_out [V],     fase [Gradi],    dfase [Gradi]
0.1,            5.05,           0.03,           -180,           1
0.5,            5.05,           0.03,           -179,           1
1,              5.05,           0.03,           -179,           1
2,              5.05,           0.03,           -179,           2
5,              5.05,           0.03,           -176,           1
10,             5.02,           0.03,           -172,           1
15,             4.98,           0.03,           -170,           1
20,             4.95,           0.03,           -166,           1
35,             4.7,           0.03,            -153,           1
50,             4.28,           0.03,           -142,           2
80,             3.25,           0.03,           -123,           2
100,            2.7,           0.03,            -115,           2
150,            1.9,           0.03,            -102,           2
250,            1.16,           0.03,           -90,           3
500,            0.61,           0.03,           -70,           5
