I (mA),		V (V),		dI (mA)
390,		1,		    1       
600,		1.1,		1       
0.2,		0.5,		0.1       
0,		    0.1,		0.01       
0,		    0.2,		0.01       
0.01,		0.3,		0.01       
0.02,		0.4,		0.01       
1.5,		0.6,		0.1       
10.8,		0.7,		0.1       
64,	    	0.8,		1       
202,		0.9,		1       
4.04,		0.65,		0.1       
28.2,		0.75,		0.1       
125,		0.85,		1       
294,		0.95,		1       
497,		1.05,		1       
89,	    	0.82,		1       
156,		0.87,		1       
239,		0.92,		1       
-0.001,		-0.5,		0.001       
-0.002,		-1,	    	0.002       
-0.002,		-10,		0.002       
-0.002,		-20,		0.002       
-0.002,		-25,		0.002       
-0.006,		-50,		0.001       
-0.005,		-40,		0.002       
